dataset_name,estimator_name,estimator_kwargs,error_mean,error_std,error_best,num_params,speed,best_args,individual_trials,threshold_method
online_shoppers,ttml_xgb,9-6,3.5218257606939773,0.5102550385293595,2.5534752520584534,4500,460091.0291066204,,"[2.9745275807678704, 3.7793202266606003, 3.833357331098752, 4.011301999911894, 3.6015057110241724, 3.5466764688022727, 3.1341679994728495, 3.570091837773432, 4.568057542340295, 3.6338754374663895, 2.5534752520584534, 3.055551740950758]",data
ai4i2020,ttml_xgb,13-39,0.3815471951953431,0.06708143838629196,0.2885150027695366,21641,773589.1795946343,,"[0.31629951116667837, 0.5048001105642792, 0.39008045378518674, 0.3166103993189528, 0.4813859600093104, 0.33655721959492346, 0.40517738311726087, 0.2885150027695366, 0.31957993563173637, 0.4503606443963842, 0.3694050251259819, 0.399794696863886]",data
census_income,ttml_mlp1,5-184,0.5156507138583163,0.08484004782658691,0.39670395979019707,8185,969117.7512444194,,"[0.39670395979019707, 0.5145931497857635, 0.455125662716528, 0.7413626006315864, 0.46473947290847045, 0.4634230236259478, 0.5244176725151458, 0.45566365183329827, 0.5813274957563169, 0.5136313788299591, 0.5788263018566695, 0.49799419604991285]",data
online_shoppers,ttml_mlp2,5-112,2.2401467297263333,3.7050840406375904,0.4484111323326973,12609,759966.3320449573,,"[1.7724073851914413, 14.44949648362363, 0.4484111323326973, 0.8977369904565243, 1.8929096659723827, 0.864165371167119, 1.0318263124185738, 0.7910897433610177, 1.4857871279456987, 1.5035561982317864, 0.9192920352315567, 0.8250823107835716]",data
diabetic_retinopathy,ttml_rf,12-168,3.460721067170876,1.3742153958376624,0.6550954907959263,227064,194083.37374795924,,"[3.0334487358966884, 4.239071860251198, 1.6111053137229947, 2.6965654671097434, 4.976390540885657, 0.6550954907959263, 3.7745729338267755, 5.997604248338288, 4.01775933091713, 3.4057397058615853, 2.9157241914601055, 4.205574986984414]",data
gas_turbine,ttml_rf,5-182,1.9833003124200044,0.3648744776803068,1.3995042915399647,35995,992885.122668431,,"[1.8989266951511128, 2.3804318374939495, 1.3995042915399647, 2.3883275830606885, 1.595909614750831, 1.7240035260081064, 2.0518030980829884, 2.0234205149708173, 1.5689467614388184, 2.6361979874314416, 2.281275358263097, 1.8508564808482373]",data
gas_turbine,ttml_xgb,19-54,1.4197491051680364,0.07979368228130684,1.2579755312945025,155838,48136.370901816976,,"[1.2579755312945025, 1.5471394572965913, 1.4352204563318112, 1.5014093174473448, 1.5103020393380757, 1.3917091992224369, 1.3917089148094932, 1.3200576000237851, 1.3850024651999566, 1.4078373616916502, 1.395166310952892, 1.4934606084078992]",data
gas_turbine,ttml_mlp2,10-96,5.983848244746007,2.3858607109587657,3.1301899434704636,76320,492604.054435471,,"[4.2002028444515505, 3.1301899434704636, 7.48123060550663, 4.098906270069558, 4.693165000117431, 5.917337788050742, 4.70015795934354, 7.610652241247392, 4.355838157589328, 5.300770107127762, 8.255591242910674, 12.062136777067009]",data
online_shoppers,ttml_xgb,9-143,1.677943069131531,0.2863090464320367,1.31047769349708,48838,370150.073389582,,"[1.3205029038010505, 1.7713767452597307, 1.4032966178074584, 1.31047769349708, 1.6912865329355393, 2.2052819641720833, 1.864334156725644, 1.5585844065294914, 1.798174461282759, 1.5023289994044369, 1.5373547374112417, 2.172317610751858]",data
online_shoppers,ttml_rf,11-90,1.4665595480332947,0.3855971593998335,0.6986671086087871,50420,164604.66480690442,,"[1.3279081897579905, 1.5633676535088887, 1.5370062064468333, 0.6986671086087871, 1.026043880100012, 1.527301254003454, 1.8089404137351257, 1.1726848883441665, 1.1926606710678558, 1.680713275879309, 2.0320721702867894, 2.0313488646603246]",data
online_shoppers,ttml_xgb,6-120,2.2792240652323987,0.2811781184326886,1.7484216082934885,19210,654195.4462886414,,"[2.1739985413139165, 2.1721593466966245, 2.6726851531260847, 1.9738402175414371, 2.092135825753998, 2.383118884326831, 2.666242931384874, 2.464380170802325, 1.7484216082934885, 2.0413228595793154, 2.362164575500209, 2.6002186684696817]",data
census_income,ttml_mlp1,15-48,0.9822688114156343,0.2442603978771321,0.6964018549269886,29391,171491.8851126854,,"[1.2195394066974927, 0.7451714984164578, 0.762450016524618, 1.1838852502333832, 1.4546127476308597, 0.8013010857302499, 0.9447225717591066, 0.7174524092334867, 0.8701222047945159, 1.2241249396428293, 1.167441751397624, 0.6964018549269886]",data
gas_turbine,ttml_rf,11-73,1.5345813005589541,0.09221660010407343,1.3564451522157805,70697,184397.41101350402,,"[1.6255452158088384, 1.6293285587034412, 1.6250151752113589, 1.5105172389434918, 1.4926933127141653, 1.3720818648046107, 1.3564451522157805, 1.6057001756154143, 1.4888618708417383, 1.6197310850543196, 1.5167044475987508, 1.5723515091955407]",data
ai4i2020,ttml_xgb,17-156,1.0166833508948467,1.7270051546854637,0.09280961288865308,115014,439373.44975234126,,"[0.8830995043565075, 0.32251160050385486, 0.36781082886503325, 0.18946390528117377, 0.18082086972494996, 0.20120039117472568, 0.745534990116622, 0.4886486806961512, 6.532489121840327, 0.33023210758479843, 1.8655785977053663, 0.09280961288865308]",data
online_shoppers,ttml_xgb,3-49,0.9312386087613763,0.26009139808152615,0.5577727770938975,2455,1169445.6325020525,,"[1.4265104043773063, 0.8236153601567012, 1.388119948613101, 0.6352350934445694, 0.9564806833785885, 0.6792353749409366, 0.8770105066606472, 0.9257314455343861, 1.1024051325966588, 0.7992398463368925, 0.5577727770938975, 1.0035067320028317]",data
online_shoppers,ttml_mlp1,19-177,4.204299806570359,1.7616501510155904,1.3704908520021315,250977,50952.949654319884,,"[4.464121637043201, 6.237635311751144, 2.6619168414757577, 2.726173450189425, 3.9052451215174036, 3.274837849827518, 3.142009307661218, 3.4052586782597634, 6.245373051048503, 7.7201977240525395, 1.3704908520021315, 5.298337854015689]",data
online_shoppers,ttml_xgb,9-61,1.932671236605976,0.17915729077908996,1.5300340578947733,25294,379743.0753933091,,"[1.786770461446581, 2.207478232836227, 1.8801669262921379, 1.8613865496241906, 1.791626879845367, 2.063238676240377, 2.057440191012008, 1.8448318516569953, 2.093298440061423, 1.5300340578947733, 1.9663400553429502, 2.109442517018683]",data
bank_marketing,ttml_mlp1,18-73,1.91677565178981,0.647630540510403,0.7815343501991548,73341,56000.68604647388,,"[2.8013354400632284, 1.0429533750717335, 2.180828371764217, 2.011802055934111, 1.4319809507050318, 0.9922648876728576, 0.7815343501991548, 2.117801832070458, 2.3797394928041014, 2.413442242331134, 2.5081403208894706, 2.339484501972227]",data
ai4i2020,ttml_xgb,19-119,1.1035883741846633,1.8288326944977573,0.20592832502509414,113705,299516.2164053413,,"[0.3311883819744118, 6.905100795815751, 0.2581657210324709, 0.20592832502509414, 0.2286093458792718, 0.2420530415501647, 0.241191632360494, 1.2867499202947834, 1.1144315876761475, 0.21103976628550417, 0.3096343185131363, 1.9089676538087308]",data
census_income,ttml_mlp1,10-93,0.9364982794173881,0.30114243349483144,0.5560856872948012,20710,451951.73052804807,,"[0.9861821734421718, 0.601091432443918, 0.9474853855842832, 0.6377442588346239, 1.1389541558403693, 1.5391717479673277, 0.6366517352143533, 1.324048548808765, 0.5560856872948012, 0.9412666716319991, 1.1806025085036436, 0.7486950474424009]",data
gas_turbine,ttml_rf,17-52,1.649250732577144,0.09290402229114582,1.5076675264753017,120258,69102.28059338871,,"[1.5978860233139025, 1.6753740836783686, 1.5712709963651177, 1.5836321572534848, 1.722335063607009, 1.7342920599555178, 1.647382540063816, 1.5237957246195521, 1.6926981573522202, 1.5076675264753017, 1.6907592671929357, 1.8439151910485032]",data
