permutation,error_mean,error_best,error_std,individual_trials
"(0, 2, 4, 1, 3)",3.0763681605526116,1.7839222868262532,0.6823205957265769,"[4.869370860883554, 2.67288480441814, 3.33387604060443, 2.648102417244668, 3.449547275831514, 3.404219922169163, 2.803810322984214, 3.8054008996185607, 2.8395798784884327, 3.3024063374134385, 3.2031043571698965, 1.7839222868262532, 2.3933091983009445, 3.2515368225746326, 2.36628583829055, 2.253232480810271, 2.666941608030672, 3.3937158689749585, 3.5276080510388423, 2.666038205636262, 2.927876645569643, 2.3987808886808604, 3.3938796341141786, 2.703179378615294, 2.9565442840180287, 2.947560877834723, 2.7566506003248845, 4.95456147348996, 3.97342133988494, 2.643696216736449]"
"(0, 2, 4, 3, 1)",3.1261282342794767,1.9765835716169404,0.7151502140362999,"[4.960042942616264, 3.45937632436873, 2.8263649761094443, 1.9765835716169404, 3.8015379206845474, 3.269230274138769, 3.5909341321412285, 4.387582152461707, 3.1248821303808096, 2.7488483651602738, 2.9757906548703086, 2.644512022276849, 2.0709845860963445, 2.9664722357782147, 2.5698089264043986, 2.418215920281178, 2.485290770017387, 3.505841646870121, 3.2292534599538474, 2.575259925554625, 3.0518513811001124, 2.0329052992689913, 2.861309421508, 4.246569298509661, 2.988485109559772, 3.377012009463726, 2.246389848445557, 3.52697208716914, 4.171842890212874, 3.6936967453644822]"
"(0, 3, 1, 2, 4)",3.56319862369402,2.5273075172316544,0.6090134397427286,"[4.226160775404745, 3.4732879980909415, 2.8610743286061155, 3.5807228255330363, 4.690177432486521, 4.125219476983503, 2.931767410588456, 3.3496775085415935, 3.051379378837387, 4.927229351110674, 4.402809455430906, 3.356868466612605, 2.7939585429406706, 3.560986727922039, 2.6577094291393135, 3.499890134347728, 3.9929164180132095, 2.858971306024916, 3.9305407835905917, 3.6249250970249354, 3.256376538854981, 2.5273075172316544, 3.124496891690443, 3.5025762924644672, 3.7109304772925134, 3.557065905447496, 2.865375192631053, 4.078614546210864, 4.444384142882998, 3.932558358884255]"
"(0, 3, 1, 4, 2)",3.553826862374773,2.1039326275009596,0.7091223766180145,"[4.984543854639585, 2.829395188648056, 2.6630388154416402, 3.3609196193662645, 4.150578979497449, 4.04327771051205, 3.5930182230415117, 2.8659483413295366, 3.5572499925049246, 5.075179433570774, 4.15244736714094, 4.105519941003088, 3.4024896212462292, 3.68141586850646, 2.614464541278452, 3.390575972755608, 3.5908049050495996, 3.2041155606573755, 3.8009341045171685, 2.7417259397553866, 4.619339031751465, 2.1039326275009596, 3.7921960868323286, 3.212895698546945, 2.878654147138035, 2.8424292728722826, 3.1000704803151544, 3.80384794080964, 4.611676677660746, 3.8421199273535387]"
"(0, 3, 2, 1, 4)",3.735510822358888,2.6439338148481015,0.6957513683241947,"[5.72878431087149, 3.0748287836076758, 4.042413151858122, 2.9987060474889784, 5.257439447257336, 4.870280255071413, 3.502937592461513, 3.3713354028829037, 3.4960495517640626, 4.3423495236811736, 4.424633197639748, 3.285638732239757, 3.144029692999412, 3.97815852334618, 3.3591297845006336, 3.0354321361430006, 3.613378423894125, 3.1102245044286554, 3.6887510546430016, 3.5852235398517758, 4.40793895640147, 2.6439338148481015, 3.9768234153749695, 3.9489934595172786, 3.491317663611258, 2.9523938917985517, 3.4476947505381226, 3.160182051366681, 3.8875143098559017, 4.238808700823357]"
"(0, 3, 2, 4, 1)",3.8350077419432327,2.4258986883078815,0.6919139904364623,"[5.430874571003496, 5.117422955366032, 3.2434246343044606, 4.640752105097619, 4.899711460442724, 3.9482875172565293, 3.238909358077855, 3.70150483003121, 3.7626505512063932, 4.442532376990678, 3.891093689157091, 3.0774394990284524, 3.71554889659323, 4.343933714414225, 3.3112353202752125, 3.2300176359742867, 3.4390420501350234, 4.1952636514624775, 3.6127948746682095, 3.344461062023309, 4.316783292265224, 2.4258986883078815, 3.673044047847623, 3.9725919938618994, 3.765724222863763, 3.090369227836397, 2.8969138383839232, 4.441375909006485, 4.6881702688505085, 3.1924600155647562]"
"(0, 3, 4, 1, 2)",3.4352840085081335,2.4328836046394566,0.6129867571773924,"[4.563013233896632, 3.1954347029676495, 2.481847067912551, 3.0394529977112814, 3.8506854694362813, 4.208017001392766, 3.0418041681628147, 2.8795162630747324, 2.8611454105285197, 4.454856643094474, 3.5797826621816737, 3.0979472408156012, 3.5128574484782895, 2.9630812032590788, 3.6151889658972123, 2.8401480996080157, 3.580501133788395, 4.091286406251886, 3.3497532777443624, 3.5159005804835117, 4.663345889535879, 2.4328836046394566, 3.399506183374148, 2.7872985308016003, 3.4153567483803893, 3.2721018945563127, 2.6553818658569313, 3.3096156249914497, 4.589993771544278, 3.8108161648778216]"
"(0, 3, 4, 2, 1)",3.6332943609529944,2.1308965077240334,0.7197900498819068,"[5.779963683843002, 3.0314055769299366, 3.2002609724020252, 3.0291437901882157, 3.7641786287207957, 4.85130594049473, 3.5332622518183068, 3.097597760566442, 2.9834611367168113, 4.388093956844179, 3.848529812002609, 3.1954029779009105, 3.393817237230371, 3.1542006327899696, 2.817380482878896, 3.641054189539136, 3.8861601938177848, 3.1053681494938443, 3.974858732577258, 2.9269225487678403, 4.014018128748801, 2.1308965077240334, 3.9387484604737377, 3.3452341460426562, 4.238625760940474, 3.389614095390985, 3.5117390801288737, 4.069170104813169, 4.995450825333442, 3.7629650634705967]"
"(0, 4, 1, 2, 3)",2.8407036105570236,1.9636922864528672,0.49906214705053614,"[3.7390747426826247, 2.5011567776794434, 2.412069632712761, 2.1241634078070497, 2.737692169031594, 3.1098441384739948, 2.5937355499388173, 2.5796241557966093, 3.1418515708029884, 3.948591010057928, 3.0128095121245386, 2.7246701429103797, 2.8416380160459487, 3.2090384327283563, 2.7901605056309933, 2.585609823051202, 2.043535870957859, 2.879814204918909, 2.9564175846406147, 2.4740766247445287, 3.0852965449947933, 2.038305375818627, 2.4638549153259435, 3.6398282418168613, 2.710019747784385, 2.935898016862306, 1.9636922864528672, 3.4604607282037754, 3.6313148675736, 2.8868637191404174]"
"(0, 4, 1, 3, 2)",2.8071478803416605,1.9003280950351462,0.6582036007175092,"[5.000986155965363, 2.479334025636084, 2.028169802600736, 2.27540271851091, 2.6368010394557646, 3.127483176017873, 2.3353028952413197, 2.991193488353915, 3.6785539784813595, 3.817206504787681, 2.701576440593461, 2.0505070129933776, 2.6438362667547763, 2.2018992157275625, 2.718706134411033, 2.3630505789508573, 2.35979739968756, 2.9649087911992935, 3.025789147324805, 2.498808158788473, 3.1858333981697693, 2.1294379720309986, 2.321179726166081, 2.91487316418018, 2.6488076311851114, 2.573067155368167, 1.9003280950351462, 3.332172837560568, 3.703137148442199, 3.6062863506294023]"
